name, deg, pr, eig, btw, clo, bridges, louvain
"twitter.com", 1633.0, 749.4211678802608, 0.12410180760077144, 1553344.0069936481, 0.5537645346661525, 571, 261016
"blogspot.com", 7176350.0, 561.2398644067794, 0.16847149787065763, 6.560046146418194E7, 0.6477784803263089, 126243, 32562
"wikipedia.org", 2.0, 526.2203536975734, 0.16905836642635708, 40.815192765973954, 0.6540534542147278, 437, 764978
"zappos.com", 14.0, 362.23594961206976, 0.00878690120506591, 104.79192613917022, 0.42285493117630735, 4, 261016
"google.com", 21161.0, 344.8704839568605, 0.14746270395691785, 6068896.935531809, 0.6177973542611421, 737, 387579
"blogger.com", 10.0, 261.5065220809948, 0.02452528287677758, 1354.0829596823296, 0.4421005744883149, 31, 32562
"youtube.com", 217.0, 221.45448823011677, 0.14376616642034687, 2082754.0424407779, 0.6110048179053913, 194, 261016
"wordpress.com", 439531.0, 192.8540108969874, 0.09843140803332269, 1.7172658109592065E7, 0.5427275056733379, 23769, 261016
"amazon.com", 29730.0, 184.4267345342379, 0.1025501922918243, 565766.6533214005, 0.5325728153983363, 119, 764978
"flickr.com", 775.0, 142.93475961696416, 0.06733306945278365, 4961040.887834082, 0.5070846936930529, 188, 456285
"nytimes.com", 10123.0, 141.02633845103097, 0.11281582871397597, 2566436.5985410213, 0.5466132094610293, 390, 32562
"yahoo.com", 28841.0, 137.91347226897818, 0.08981745373425477, 2591234.2249756246, 0.5297408997727179, 678, 235325
"blogmura.com", 783.0, 128.83616871932287, 0.002747800581515166, 254341.03829277217, 0.38481013780183154, 278, 76398
"myspace.com", 20993.0, 100.69281583110285, 0.06230835266021743, 2310596.4479469075, 0.48911114928721605, 96, 122579
"msplinks.com", 0.0, 83.81918472948985, 0.004289960282348494, 0.0, 0.39759216631656924, 2, 122579
"bit.ly", 14.0, 83.26268442759176, 0.022422829428141014, 1336.2228099769761, 0.4394606711170629, 5, 261016
"apple.com", 481.0, 82.6587249498682, 0.0501888165556592, 311408.46126344625, 0.47862282724367716, 76, 764978
"facebook.com", 13.0, 80.79371082761561, 0.0724387483170094, 666461.3957976428, 0.5012046392659109, 54, 235325
"microsoft.com", 118.0, 77.17744081907284, 0.04306875916368395, 972036.5359103939, 0.4701660095191414, 56, 764978
"tinyurl.com", 761.0, 67.90261147151043, 0.04578927188947722, 877296.4998198139, 0.4647098478522716, 36, 261016
"typepad.com", 142460.0, 67.50625037208515, 0.06968298427100711, 5535529.667977546, 0.495519496263198, 7488, 518120
"feedburner.com", 403.0, 67.05064873926234, 0.019948034783668023, 333843.99919672665, 0.43887044243016454, 49, 32562
"igooi.com", 0.0, 63.19621046206965, 0.003414588230247864, 0.0, 0.39017142772527946, 247, 92825
"adobe.com", 181.0, 61.962127961851444, 0.027691451751888547, 1484614.2574215918, 0.4494956759874041, 68, 60228
"topix.net", 2791.0, 54.474138265232426, 0.02917094914358495, 291055.80550421256, 0.42909625041470123, 48, 504611
"bbc.co.uk", 2161.0, 52.73660950822773, 0.07488438180123938, 1123959.7834504608, 0.5022214690394124, 107, 32562
"imdb.com", 34.0, 51.32876612507978, 0.05917045358997682, 689753.8418501061, 0.48487265048641276, 39, 504611
"oyax.com", 0.0, 49.716438253567944, 0.007844820010518058, 0.0, 0.4191127691759434, 136, 92825
"washingtonpost.com", 3172.0, 46.29356814412853, 0.07549123454248723, 458785.24267048266, 0.49057977512581563, 99, 32562
"americablog.com", 5367.0, 45.16034872016003, 0.00573729140510201, 22835.35403934466, 0.39655992307743115, 21, 32562
"orble.com", 8374.0, 43.78327006605025, 9.543329851198495E-5, 747003.9588911153, 0.280023803359102, 117, 200524
"msn.com", 7144.0, 41.31929036449812, 0.07039360574758581, 459185.3897974927, 0.4903442026047468, 139, 504611
"wefollow.com", 0.0, 40.819666460078345, 0.004455373780280593, 0.0, 0.4047613122292472, 1, 261016
"guardian.co.uk", 19697.0, 40.21412428022888, 0.06850618513835686, 611727.8489670127, 0.490815574104487, 438, 396733
"mylinkvault.com", 71.0, 40.193686272049014, 0.004016899440548279, 711036.4163785044, 0.39006514899465605, 64, 92825
"cnn.com", 48487.0, 39.52722999456032, 0.07583144390865512, 1217547.6627271837, 0.4992137873010928, 156, 504611
"digg.com", 53061.0, 38.9807438099573, 0.026137253371372515, 155535.72707909663, 0.4493720455137842, 31, 235325
"wsj.com", 2003.0, 38.14643673407587, 0.07356536613865898, 1308752.0646995767, 0.49096306360929637, 62, 32562
"cnet.com", 8934.0, 36.72535259571239, 0.03895197543510309, 404717.4484770859, 0.45984432397382957, 190, 764978
"go.com", 1753.0, 35.63690638809571, 0.0665071869816017, 171523.03897480728, 0.4818695461213403, 73, 504611
"creativecommons.org", 142.0, 34.167711192105976, 0.01678845337559815, 148582.992827722, 0.43466714990928396, 24, 122579
"fc2.com", 34034.0, 33.6766271918418, 0.006192733067930582, 769926.9627165556, 0.40672812623326277, 1004, 76398
"vimeo.com", 5.0, 33.38407587197881, 0.028496142160162354, 224657.35968382086, 0.4494956759874041, 21, 32562
"technorati.com", 0.0, 32.100894401624274, 0.01763673685067059, 0.0, 0.4363407353397316, 10, 32562
"bigblog.com", 8.0, 31.889010572533344, 0.017663186469343024, 153.9710165249091, 0.4106894215956411, 27, 105319
"google.de", 0.0, 31.091184485752933, 0.025135527532441648, 0.0, 0.4317098409450582, 18, 252498
"jumptags.com", 5.0, 29.573431286334063, 0.006358642447107225, 331.66238215991484, 0.41417229848890097, 78, 92825
